source,target
She is reading a book.,ఆమె ఒక పుస్తకం చదువుతోంది.
She is reading a book.,वह एक किताब पढ़ रही है।
She is reading a book.,அவள் ஒரு புத்தகம் படிக்கிறாள்.
She is reading a book.,সে একটি বই পড়ছে।
He goes to school.,అతను పాఠశాలకు వెళ్తాడు.
He goes to school.,वह स्कूल जाता है।
He goes to school.,அவன் பள்ளிக்கு போகிறான்.
He goes to school.,সে স্কুলে যায়।
I love programming.,నాకు ప్రోగ్రామింగ్ నచ్చుతుంది.
I love programming.,मुझे प्रोग्रामिंग पसंद है।
I love programming.,நான் நிரலாக்கத்தை விரும்புகிறேன்।
I love programming.,আমি প্রোগ্রামিং ভালোবাসি।